Aali Pascha	1815
Otto Richard Schmidt-Cabanis	22. Juni 1838
Hermann Schmidt-Rimpler	30. Dez. 1838
Eduard Schmidt-Weißenfels	1. Sept. 1833
Bruno Schmitz	21. Nov. 1858
Benjamin Schmolck	21. Dez. 1672
Gustav Schmoller	24. Juni 1838
Karl Schnaase	7. Sept. 1798
Max Schneckenburger	17. Febr. 1819
Karl August Schneegans	9. März 1835
Ludwig Schneegans	16. Dez. 1842
Schneider	21. Sept. 1870
Eulogius Schneider	20. Okt. 1756
Friedrich Schneider	3. Jan. 1786
Hermann Schneider	16. Juni 1846
Karl Schneider	25. April 1826
Louis Schneider	29. April 1805
Friedrich Wilhelm Schneidewin	6. Juni 1810
Christian Schneller	5. Nov. 1831
Artur Schnitzler	15. Mai 1862
Thekla von Schober	28. Juni 1810
Adolf Schöll	2. Sept. 1805
Maxim. Samson Friedrich Schöll	8. Mai 1766
Johann Heinrich Scholten	17. Aug. 1811
Julius Scholtz	12. Febr. 1825
Adolf von Scholz	1. Nov. 1833
Georg Friedrich Schömann	28. Juni 1793
Schomberg	Dez. 1615
Sir Robert Hermann Schomburgk	5. Juni 1804
Heinrich Theodor von Schön	20. Jan. 1773
Antoine Schönbach	29. Mai 1848
Christian Friedrich Schönbein	18. Okt. 1799
Gustav Friedrich von Schönberg	21. Juli 1839
Schönborn	1605
Richard Schöne	5. Febr. 1840
Anna Elisabeth Schönemann	23. Juni 1758
Johann Friedrich Schönemann	21. Okt. 1704
Georg Schönerer	17. Juli 1842
Hans Adam von Schöning	1. Okt. 1641
Gustav Schönleber	3. Dez. 1851
Johann Lukas Schönlein	30. Nov. 1793
Alois Schönn	11. März 1826
Karl Heinrich Schönstedt	6. Jan. 1833
Franz von Schönthan	20. Juni 1849
Henry Rowe Schoolcraft	28. März 1793
Artur Schopenhauer	22. Febr. 1788
Johann Daniel Schöpflin	6. Sept. 1694
Burghard Schorlemer-Alst	21. Okt. 1825
Karl Schorn	16. Okt. 1803
Johs. Christian Schotel	11. Nov. 1787
Friedrich Otto Schott	17. Dez. 1851
Joseph Schott	16. Juli 1835
Wilhelm Schott	3. Sept. 1802
Eberhard Schrader	5. Jan. 1836
Julius Schrader	16. Juni 1815
Otto Schrader	28. März 1855
Wilhelm Schrader	5. Aug. 1817
Anna Schramm	8. April 1840
Johs. von Schraudolph	13. Juni 1808
Albr. Schrauf	14. Dez. 1837
Daniel Gottlieb Moritz Schreber	15. Okt. 1808
Gustav Schreck	8. Sept. 1849
Karl Schrenck	17. Aug. 1806
Leopold Iwanowitsch Schrenck	24. April 1826
Ferdinand Schrey	19. Juli 1850
Ad. Schreyer	9. Juli 1828
Joseph Schreyvogel	27. März 1768
Johann Matth. Schröckh	26. Juli 1733
Eduard August Schroeder	25. Mai 1852
Edward Germanist Schröder	18. Mai 1858
Friedrich Ludwig Schröder	3. Nov. 1744
Karl Schröder	11. Sept. 1838
Richard Schröder	19. Juni 1838
Sophie Schröder	23. Febr. 1781
Wilhelmine Schröder-Devrient	6. Dez. 1804
Adolf Schrödter	28. Juni 1805
Tobias Gottfried Schröer	14. Juni 1791
Corona Schröter	14. Jan. 1751
Anton Schrötter	26. Nov. 1802
Christian Friedrich Daniel Schubart	24. März 1739
Johann Christian Schubart	24. Febr. 1734
Franz Schubert	31. Jan. 1797
Gotthilf Heinrich von Schubert	26. April 1780
Ernst von Schuch	23. Nov. 1847
Werner Schuch	2. Okt. 1843
Hugo Schuchardt	4. Febr. 1842
Johann Siegmund Schuckert	18. Okt. 1846
Levin Schücking	6. Sept. 1814
Friedrich Schuckmann	25. Dez. 1755
Schulenburg	8. Aug. 1661
Aloys Schulte	2. Aug. 1857
Johann Friedrich von Schulte	23. April 1827
Albr. Schultheiß	7. März 1823
Albert Schultz	26. März 1831
Alwin Schultz	6. Aug. 1838
Hermann Schultz	30. Dez. 1836
Fritz Schultze	7. Mai 1846
Max Schultze	25. März 1825
Viktor Schultze	13. Dez. 1851
Albert Schulz	18. Mai 1802
Heinrich Schulz	19. Juni 1838
Johann Abraham Peter Schulz	31. März 1747
Moritz Schulz	4. Nov. 1825
Ernst Schulze	22. März 1789
Franz Eilhard Schulze	22. März 1840
Friedrich August Schulze	1. Juni 1770
Friedrich Gottlob Schulze	28. Jan. 1795
Johannes Schulze	15. Jan. 1786
Hermann Schulze-Delitzsch	29. Aug. 1808
Peder Schumacher	24. Aug. 1635
Georg Schumann	25. Okt. 1866
Johann Chr. Gottlob Schumann	3. Febr. 1836
Robert Schumann	8. Juni 1810
Schuppius	März 1610
Emil Schürer	2. Mai 1844
Heinrich Schurtz	11. Dez. 1863
Karl Schurz	2. März 1829
Heinrich Schütz	8. Okt. 1585
Schuwálow	12. Nov. 1727
Gustav Schwab	19. Juni 1792
Gustav Schwalbe	1. Aug. 1844
Theodor Schwann	7. Dez. 1810
Ludwig von Schwanthaler	26. Aug. 1802
Adam Friedrich Schwappach	2. Nov. 1851
Marie Espérance von Schwartz	8. Nov. 1821
Marie Sophie Schwartz	4. Juli 1819
Wilhelm Schwartz	4. Sept. 1821
Hermann Schwartze	7. Sept. 1837
Bernhard Schwarz	12. Aug. 1844
Karl Schwarz	19. Nov. 1812
Friedrich Oskar von Schwarze	30. Sept. 1816
Schwarzenberg	1463
Franz Schwechten	12. Aug. 1841
Albert Schwegler	10. Febr. 1819
Amand von Schweiger-Lerchenfeld	17. Mai 1846
Johann Salomo Christoph Schweigger	8. April 1779
Felix Schweighofer	20. Nov. 1842
Georg Schweinfurth	29. Dez. 1836
Hans von Schweinichen	25. Juni 1552
Rudolf Schweinitz	15. Jan. 1839
Jean Baptista von Schweitzer	12. Juli 1834
Alexander Schweizer	14. März 1808
Simon Schwendener	10. Febr. 1829
Ernst Schweninger	15. Juni 1850
Schwenkfeld	1490
Otto Schwerdgeburth	5. März 1835
Schwerin	26. Okt. 1684
Karl Gustav Schwetschke	5. April 1804
Moritz von Schwind	21. Jan. 1804
August Wilhelm Schynse	21. Juni 1857
Sckell	1750
Philipp Lutley Sclater	4. Nov. 1829
Scorel	1495
William Scoresby	5. Okt. 1789
Scott	1811
Sir Walter Scott	15. Aug. 1771
Winfield Scott	13. Juni 1786
Augustin Eugène Scribe	24. Dez. 1791
Scudéry	1601
Charles Sealsfield	3. März 1793
Sebastian	1554
François Horace Bastien Sebastiani	11. Nov. 1775
Pater Angelo Secchi	29. Juli 1818
Seckendorff	20. Dez. 1626
Rudolf Seckendorff	22. Nov. 1844
Michel Jean Sédaine	4. Juli 1719
Leopold Sedlnitzki	29. Juli 1787
Marie Seebach	24. Febr. 1834
Otto Seeck	2. Febr. 1850
Johann Konrad Seekatz	4. Sept. 1719
Adolf Seel	1. März 1829
Sir John Robert Seeley	10. Sept. 1834
Hugo Seeliger	23. Sept. 1849
Wilhelm Seelmann	20. Jan. 1849
Berthold Seemann	28. Febr. 1825
Giovanni Segantini	15. Jan. 1858
Gustaaf Segers	29. Dez. 1848
Seghers	1590
Louis Phil Ségur d'Aguesseau	10. Dez. 1753
August Seidel	29. Sept. 1863
Heinrich Seidel	25. Juni 1842
Gabriel von Seidl	9. Dez. 1848
Johann Gabriel Seidl	21. Juni 1804
Anton Seitz	23. Jan. 1829
Rudolph von Seitz	15. Juni 1842
Emil Selenka	27. Febr. 1842
Eduard Seler	5. Dez. 1849
Selim	1467
Christian Sell	14. Aug. 1831
Sella	1826
Joseph Sellény	2. Febr. 1824
s. Marcella Sembrich	18. Febr. 1858
Peter Petrowitsch Semenow	12. Jan. 1827
Heinrich Semler	18. Mai 1841
Johann Salomo Semler	18. Dez. 1725
Gottfried Semper	29. Nov. 1803
Karl Semper	6. Juli 1832
Hermann Senator	6. Dez. 1834
Johann Christian Senckenberg	28. Febr. 1707
Gustav Senden-Bibran	23. Juli 1847
Jean Senebier	6. Mai 1742
Aloys Senefelder	6. Nov. 1771
Ignaz von Senestrey	13. Juli 1818
Ferdinand Senft	28. Febr. 1810
Johann Nepom. Sepp	7. Aug. 1816
Mathilde Serao	7. März 1856
Johann Tobias von Sergel	8. Sept. 1740
Sergius Alexandrowitsch	11. Mai 1857
Max Sering	18. Jan. 1857
Alexander Albert de la Roche von Serpa Pinto	20. April 1846
Francisco Serrano y Dominguez	17. Sept. 1810
Joseph Alfred Serret	30. Aug. 1819
Servet	1511
Hermann Settegast	30. April 1819
Luigi Settembrini	17. April 1813
Bernhard Seuffert	23. Mai 1853
Hermann Seuffert	28. Aug. 1836
Johann Gottfried Seume	29. Jan. 1763
Marie de Rabutin-Chantal, Sévigné	6. Febr. 1626
Max von Seydel	7. Sept. 1846
Rudolf Seydel	27. Mai 1835
Karl Seydelmann	24. April 1793
Otto Theodor von Seydewitz	11. Sept. 1818
Friedrich Wilhelm von Seydlitz	3. Febr. 1721
Sforza	1401
Anthony Ashley-Co Shaftesbury	22. Juli 1621
Henry Wheeler Shaw	24. April 1818
Percy Bysshe Shelley	4. Aug. 1792
Philipp Henry Sheridan	6. März 1831
Richard Brinsley Sheridan	30. Sept. 1751
William Tecumseh Sherman	8. Febr. 1820
Shukowskij	29. Jan. 1783
Siamesische Zwillinge	1811
Sibirjaków	1849
August von Siccard von Siccardsburg	6. Dez. 1813
Nathanael Sichel	8. Jan. 1844
Theodor Sickel	18. Dez. 1826
Franz von Sickingen	2. März 1481
Sarah Siddons	5. Juli 1755
Henry Addington Sidmouth	30. Mai 1757
Sidney	1622
Sir Philip Sidney	30. Nov. 1554
Hermann Siebeck	28. Sept. 1842
Karl Kaspar von Siebold	4. Nov. 1736
Heinrich Siegel	13. April 1830
Karl Siegfried	22. Jan. 1830
Georg von Siemens	21. Okt. 1839
Werner von Siemens	13. Dez. 1816
Rudolf Siemering	10. Aug. 1835
Henryk von Siemiradzki	15. Nov. 1843
Sienkiewicz	1846
Sieroszewski	1860
Eduard Sievers	25. Nov. 1850
Jakob Johann	30. Aug. 1731
Wilhelm Sievers	31. Dez. 1860
Emanuel Joseph Sieyès	3. Mai 1748
Franz Sigel	18. Nov. 1824
Sigismund	15. Febr. 1361
Sigismund	1. Jan. 1467
Christoph Sigwart	28. März 1830
Sikh	1469
Gottfried Silbermann	14. Jan. 1683
August Silberstein	1. Juli 1827
Friedrich Silcher	27. Juni 1789
Alexander Siloti	10. Okt. 1863
Antonio José da Silva	8. Mai 1705
Paul Armand Silvestre	18. April 1837
Hubert Theophil Simar	14. Dez. 1835
Simic	28. Febr. 1843
Simmler	1823
William Gilmore Simms	17. April 1806
Eduard Simon	7. April 1824
Emma Simon	8. Aug. 1848
Simon	31. Dez. 1814
Simonis	1810
Sir James Young Simpson	7. Juni 1811
Karl Simrock	28. Aug. 1802
Martin Eduard von Simson	10. Nov. 1810
Paul Singer	16. Jan. 1844
Sipjágin	1853
Jean Charles Leonard Simonde de Sismondi	9. Mai 1773
Hans Sitt	21. Sept. 1850
Konrad Sittenfeld	9. Juli 1862
Sizzo Prinz von Leutenberg	3. Juni 1860
Franz Skarbina	24. Febr. 1849
Skarga	1536
Walter William Skeat	21. Nov. 1835
Michail Dmitrijewitsch Skobelew	17. Sept. 1843
Joseph Skoda	10. Dez. 1805
Amalie Skram	22. Aug. 1847
Adolf Slaby	18. April 1849
Sir Rudolph Karl von Slatin	7. Juni 1857
Wilhelm Sláwata	1. Dez. 1572
Sleidanus	1506
Slingeland	1640
Ernest Slingeneyer	29. Mai 1823
Robert Miles Sloman	23. Okt. 1783
Juliusz Slowacki	23. Aug. 1809
Friedrich Smetana	2. März 1824
Johann Smidt	5. Nov. 1773
Samuel Smiles	23. Sept. 1816
Adam Smith	5. Juni 1723
George Smith	26. März 1840
Sophus Birket-S. Smith	28. April 1838
Sydney Smith	3. Juni 1771
William Robertson Smith	8. Nov. 1846
Franz Smolka	5. Nov. 1810
Smollett	März 1721
Snellius	1591
Jan Renier Snieders	22. Nov. 1812
Snorre Sturluson	1179
Christian Snouck Hurgronje	8. Febr. 1857
Snyders	1579
Albert Socin	13. Okt. 1844
Hermann Soden	16. Aug. 1852
Julius Soden	5. Febr. 1846
Sodoma	1477
Rudolf Sohm	29. Okt. 1841
Sohn	10. Dez. 1805
Soissons	1567
Paul Soleillet	29. April 1842
Solimena	1657
Solis	1514
Antonio de Solis y Ribadeneira	28. Okt. 1610
Sollogúb	1814
Solms	13. Dez. 1890
Hermann Solms-Laubach	23. Dez. 1842
Sergej Michajlowitsch Solowjew	17. Mai 1820
Solvayprozeß	16. April 1838
Werner Sombart	19. Jan. 1863
Anton Sommer	11. Dez. 1816
Samuel Thomas von Sömmerring	18. Jan. 1755
Otto Sommerstorff	29. Mai 1859
Johann Baptiste Sonderland	2. Febr. 1805
Karl Sonklar von Innstätten	2. Dez. 1816
Friedrich Soennecken	20. Sept. 1848
Leopold Sonnemann	29. Okt. 1831
Sonnenfels	1733
Adolf Sonnenthal	21. Dez. 1834
Sidney Sonnino	11. März 1847
Henriette Sontag	3. Jan. 1806
Sophia Alexejewna	17. Sept. 1657
Sophie Kurfürstin von Hannover	14. Okt. 1630
Sophie Dorothea Kurprinzessin von Hannover	15. Sept. 1666
Sophie Charlotte Königin von Preußen	20. Okt. 1668
Henry Clifton Sorby	10. Mai 1826
Albert Sorel	13. Aug. 1842
Sorma	17. Mai 1865
Adolf Soetbeer	23. Nov. 1814
Soubise Charles von Rohan	16. Juli 1715
Nic. Jean de Dieu Soult	29. März 1769
Robert Southey	12. Aug. 1774
Emile Souvestre	15. April 1806
James Sowerby	21. März 1757
Franz Soxhlet	13. Jan. 1848
Frida Soyaux	16. Mai 1859
Hermann Soyaux	4. Jan. 1852
Sozinianer	1525
Ludwig Adolf Spach	27. Sept. 1800
Peter Spahn	22. Mai 1846
Georg Spalatin	17. Jan. 1484
Lazaro Spallanzani	10. Jan. 1729
Gustav Spangenberg	1. Febr. 1828
Jared Sparks	10. Mai 1789
Sparr	1605
Wladimir Danilowitsch Spasówicz	16. Jan. 1829
Franz Anton Specht	19. Juni 1847
Friedrich Specht	6. Mai 1839
Joseph Speckbacher	13. Juli 1764
Erwin Speckter	18. Juli 1806
Friedrich Spee	25. Febr. 1591
John Hanning Speke	4. Mai 1827
John Poyntz Spencer	27. Okt. 1835
Herbert Spencer	27. April 1820
Philipp Jakob Spener	13. Jan. 1635
Spenser	1552
Michail Michajlowitsch Speranskij	1. Jan. 1772
Speratus	13. Dez. 1484
Ferdinand August Spiegel	25. Dez. 1764
Friedrich von Spiegel	11. Juli 1820
Otto Spiegelberg	9. Jan. 1830
Friedrich Spielhagen	24. Febr. 1829
Spieß	1810
Christian Heinrich Spieß	4. April 1755
Karl Spindler	16. Okt. 1796
Spinelli	1865
Spinola	1569
Spinoza	24. Nov. 1632
Karl Johann Philipp Spitta	1. Aug. 1801
Karl Spitteler	24. April 1845
Ludwig Timotheus Spittler	10. Nov. 1752
Daniel Spitzer	3. Juli 1835
Emanuel Spitzer	30. Okt. 1844
Karl Spitzweg	4. Febr. 1808
Johann Baptiste von Spix	9. Febr. 1781
Louis Spohr	5. April 1784
Gasparo Spontini	14. Nov. 1774
Sprengel	1750
Alois Sprenger	3. Sept. 1813
Anton Springer	13. Juli 1825
Karl Spruner von Merz	15. Nov. 1803
Eugène Spuller	8. Dez. 1835
Charles Haddon Spurgeon	19. Juni 1834
Johanna Spyri	12. Juni 1827
Ephraim George Squier	17. Juni 1821
Florian von Stablewski	16. Okt. 1841
Bernhard Stade	11. Mai 1848
Johann Philipp Karl Joseph Stadion	18. Juni 1763
Anne Louise Germaine Staël-Holstein	22. April 1766
Friedrich August von Stägemann	7. Nov. 1763
Erik Johann Stagnelius	14. Okt. 1793
Friedrich Julius Stahl	16. Jan. 1802
Georg Ernst Stahl	21. Okt. 1660
Adolf Stahr	22. Okt. 1805
Jakob Stainer	14. Juli 1621
Stair	1648
Christoph Friedrich von Stälin	4. Aug. 1805
Stambúlow	1855
Rudolf Stammler	19. Febr. 1856
Leland Stanford	9. Mai 1824
Frederik Stang	4. März 1808
Rudolph Stang	26. Mai 1831
Stanhope	1673
Stanislaus	1550
Stanislaus	1030
Stanislaus I. Leszczynski	20. Okt. 1677
Stanislaus II. August	17. Jan. 1732
Henry Morton Stanley	28. Jan. 1841
Friedrich Staps	14. März 1792
Starhemberg	1638
Vinzenz Statz	9. April 1819
Franz Anton Staudenmaier	11. Sept. 1800
Karl Georg Christian von Staudt	23. Jan. 1798
Franz August Stauffenberg	3. Aug. 1834
Karl Stauffer-Bern	2. Sept. 1857
Sir George Leonard Staunton	19. April 1737
Bernhard Stavenhagen	24. Nov. 1862
Edmund Clarence Stedman	8. Okt. 1833
Steele	1672
Johannes Wilhelm Christian Steen	22. Juli 1827
Japetus Steenstrup	8. März 1813
Karl Steffeck	4. April 1818
Henrich Steffens	2. Mai 1773
August von Steigentesch	12. Jan. 1774
Ernst Steiger	4. Okt. 1832
Martinus Th. Steijn	2. Okt. 1857
Charlotte von Stein	25. Dez. 1742
Christian Gottfried Daniel Stein	14. Okt. 1771
Heinrich Stein	12. Febr. 1857
Karl Stein	26. Okt. 1757
Lorenz von Stein	15. Nov. 1815
Emil Steinbach	11. Juni 1846
Georg Steindorff	12. Nov. 1861
Steinen Karl von den	7. März 1855
Jakob Steiner	18. März 1796
Georg Steinhausen	2. Juni 1866
Heinrich Steinhausen	27. Juli 1836
Karl Steinhäuser	3. Juli 1813
Karl August Steinheil	12. Okt. 1801
Moritz Steinla	21. Aug. 1791
Ed. von Steinle	2. Juli 1810
Gustav Steinmann	9. April 1856
Karl Friedrich von Steinmetz	27. Dez. 1796
Elias Steinmeyer	8. Febr. 1848
Franz Ludwig Steinmeyer	15. Nov. 1812
Moritz Steinschneider	30. März 1816
Heymann Steinthal	16. Mai 1823
Steinway	15. Febr. 1797
Steinwender	1847
Karl Stelter	25. Dez. 1823
Stenbock	1664
Edmund Max Stengel	5. April 1845
Hermann Stengel	19. Juli 1837
Karl Stengel	26. Juli 1840
Stenonischer Gang	10. Jan. 1638
Gustav Adolf Harald Stenzel	21. März 1792
Adolf Friedrich Stenzler	9. Juli 1807
Stephan	1105
Franz Viktor Stephan	14. Sept. 1817
Heinrich von Stephan	7. Jan. 1831
Stephanus	1503
Leslie Stephen	28. Nov. 1832
Hauptbegründer Stephenson	8. Juni 1781
Adolf Stern	14. Juni 1835
Alfred Stern	22. Nov. 1846
Julius Stern	8. Aug. 1820
Maurice Reinhold von Stern	3. April 1860
Alexander Sternberg	22. April 1806
Lawrence Sterne	24. Nov. 1713
Julius Stettenheim	2. Nov. 1831
Ludwig Steub	20. Febr. 1812
Friedrich Wilhelm von Steuben	15. Nov. 1730
Robert Louis Stevenson	13. Nov. 1850
Balfour Stewart	1. Nov. 1828
Dugald Stewart	22. Nov. 1753
Karl Wilhelm Stieda	1. April 1852
Heinrich Stieglitz	22. Febr. 1801
Gustav von Stiehle	14. Aug. 1823
Adolf Stieler	26. Febr. 1775
Felix Stieve	9. März 1845
Adalbert Stifter	23. Okt. 1805
Johann Baptiste Stiglmayer	18. Okt. 1791
Hermann Stilke	29. Jan. 1803
Felix Stillfried	26. Sept. 1851
Rudolf Stillfried-Rattonitz	14. Aug. 1804
Benedikt Stilling	22. Febr. 1810
Julius Stinde	28. Aug. 1841
Roderich von Stintzing	8. Febr. 1825
Max Stirner	25. Okt. 1806
Otto Stobbe	28. Juni 1831
Daniel Ehrenfried Stöber	9. März 1779
Adolf Stöcker	11. Dez. 1835
Julius Adolf Stöckhardt	4. Jan 1809
Julius Stockhausen	22. Juli 1826
Christian Friedrich Stockmar	22. Aug. 1787
Richard Henry Stoddard	2. Juli 1825
Friedrich Karl Adolf Stohmann	25. April 1832
George Gabriel Stokes	13. Aug. 1819
Whitley Stokes	28. Febr. 1830
Stolberg	28. Sept. 1864
Ferdinand Stolle	28. Sept. 1806
Friedrich Stoltze	21. Nov. 1816
Alban Stolz	8. Febr. 1808
Wilhelm Stolze	20. Mai 1798
Adolf Stölzel	28. Juni 1831
Ludwig Storch	14. April 1803
Karl Stoerk	17. Sept. 1832
Theodor Storm	14. Sept. 1817
Joseph Story	18. Sept. 1779
Albrecht von Stosch	20. April 1818
Anatolij Michajlowitsch Stößel	10. Juli 1848
Stowe	14. Juni 1812
Karl Volkmar Stoy	22. Jan. 1815
Moritz Strachwitz	13. März 1822
Hermann Leberecht Strack	6. Mai 1848
Johann Heinrich Strack	24. Juli 1806
Stradivari	1644
Strafford	13. April 1593
Alexander Strakosch	3. Dez. 1846
Eduard Strasburger	1. Febr. 1844
Stratford de Redcliffe	4. Nov. 1786
David Friedrich Strauß	27. Jan. 1808
Johann Strauß	14. März 1804
Richard Strauß	11. Juni 1864
Viktor Friedrich von S. und Torney Strauß	18. Sept. 1809
Adolf Strecker	21. Okt. 1812
Karl Streckfuß	20. Sept. 1779
Wilhelm Streitberg	23. Febr. 1864
Karl von Stremayr	30. Okt. 1823
August Strindberg	22. Jan. 1849
Andreas Magnus Strinnholm	25. Nov. 1786
Strjelbizkij	1828
Adolf Strodtmann	24. März 1829
Emil Strohal	31. Dez. 1844
Louis Stromeyer	6. März 1804
Joseph Georg Stroßmayer	4. Febr. 1815
Bethel Henry Strousberg	20. Nov. 1823
Strozzi	1581
Friedrich August Strubberg	18. Mai 1808
Otto von Strubberg	16. Sept. 1821
Gustav von Struensee	13. Dez. 1803
Johann Friedrich Struensee	5. Aug. 1737
Friedrich Adolf August Struve	9. Mai 1781
Gustav von Struve	11. Okt. 1805
Wilhelm von Struve	15. April 1793
Alexandre Struys	24. Jan. 1852
John MacDouall Stuart	7. Sept. 1815
William Stubbs	21. Juni 1825
Alphons Stübel	26. Juli 1835
Franz von Stuck	23. Febr. 1863
Ernst Stückelberg	21. Febr. 1831
Wilhelm Studemund	3. Juli 1843
Bernhard Studer	21. Aug. 1794
Franz Studniczka	14. Aug. 1860
Konrad von Studt	5. Okt. 1838
Franz Stuhlmann	29. Okt. 1863
August Stüler	28. Jan. 1800
Karl Ferdinand Stumm-Halberg	30. März 1836
Karl Stumpf	21. April 1848
Sturdza	1795
Johannes Sturm	1. Okt. 1507
Julius Sturm	21. Juli 1816
Johann Karl Bertram Stüve	4. März 1798
Franz Suarez	5. Jan. 1548
Joseph Sucher	23. Nov. 1844
Louis Gabriel Suchet	2. März 1770
Hermann Suchier	11. Dez. 1848
Hermann Sudermann	30. Sept. 1857
Eugène Sue	10. Jan. 1804
Suger	1081
Suleimân	1496
Suleiman Pascha	1840
Arthur Sullivan	13. Mai. 1842
Maxim. de Béthune Sully	13. Dez. 1560
René Françoi Sully-Prudhomme	16. März 1839
Johann Georg Sulzer	6. Okt. 1720
Alexander Petrowitsch Sumarókow	23. Nov. 1718
Charles Sumner	6. Jan. 1811
Alexander Supan	3. März 1847
Bernhard Suphan	18. Jan. 1845
Franz von Suppé	18. April 1820
Surrey	1516
Franz Susemihl	10. Dez. 1826
Suso	21. März 1295
Eduard Sueß	20. Aug. 1831
Sussex	27. Jan. 1773
Louis Sußmann-Hellborn	20. März 1828
Sutsos	1803
Bertha von Suttner	9. Juni 1843
Alexej Sergejewitsch Suwórin	23. Sept. 1834
Graf Alexander Wassiljewitsch Suwórow-Rymnikskij	25. Nov. 1729
Svarez	27. Febr. 1746
Johann Svendsen	30. Sept. 1840
Johan Sverdrup	30. Juli 1816
Otto Sverdrup	31. Okt. 1854
Jan Swammerdam	12. Febr. 1637
Emanuel von Swedenborg	29. Jan. 1688
Henry Sweet	15. Sept. 1845
Gerard van Swieten	7. Mai 1700
Jonathan Swift	30. Nov. 1667
Charles Algernon Swinburne	5. April 1837
Swjatopolk-Mirskij	1857
Heinrich von Sybel	2. Dez. 1817
Sydenham	1624
Theodor Emil von Sydow	15. Juli 1812
John Addington Symonds	5. Okt. 1840
Ladislaus von Szalay	18. April 1813
Julius Szapáry	1. Nov. 1832
Karl Szász	15. Juni 1829
Stephan Széchényi	21. Sept. 1792
Koloman von Szell	8. Juni 1843
Eduard Szigligeti	18. März 1814
Alexander Szilágyi	30. Aug. 1827
Joseph Szlávy	22. März 1818
Ladis Szögyényi-Marich	12. Nov. 1841
Szujski	1835
Eduard Taaffe	24. Febr. 1833
Tabacchi	1831
Astronom Tacchini	21. März 1838
Taglioni	1777
René Taillandier	16. Dez. 1817
Hippolyte Taine	21. April 1828
Peter Guthrie Tait	28. April 1831
Camille Tallart	14. Febr. 1652
Talleyrand-Périgord	13. Febr. 1754
Tallien	1767
François Joseph Talma	15. Jan. 1763
Karl Tanera	9. Juni 1849
Wilhelm Tangermann	6. Juli 1815
Ludwig Tann-Rathsamhausen	18. Juni 1815
Tansillo	1510
Wilhelm Tappert	19. Febr. 1830
Stanisław Tarnówski	7. Nov. 1837
Giuseppe Tartini	12. April 1692
Ernst Ludwig Taschenberg	10. Jan. 1818
Tasman	1602
Tassaert	1729
Bernardo Tasso	11. Nov. 1493
Alessandro Tassoni	28. Sept. 1565
Tattegrain	1852
Wilhelm Taubert	23. März 1811
Friedrich Taubmann	15. Mai 1565
Christian Bernhard Tauchnitz	25. Aug. 1816
Karl Christoph Traugott Tauchnitz	29. Okt. 1761
Friedrich Bo Tauenzin	15. Sept. 1760
Joseph Tautenhayn	5. Mai 1837
Bayard Taylor	11. Jan. 1825
Taylor	1817
Zachary Taylor	24. Sept. 1784
Teck	27. Aug. 1837
Wilhelm Tegetthoff	23. Dez. 1827
Esaias Tegnér	13. Nov. 1782
Gustav Teichmüller	19. Nov. 1832
Tellez	1572
Jodocus Donatus Hubertus Temme	22. Okt. 1798
Eduard Tempeltey	13. April 1832
Tempesta	1637
Richard Grenville Temple	26. Sept. 1711
Tencin	1681
Alfred Tennyson	6. Aug. 1809
Terceira	10. März 1792
Gerhard Tersteegen	25. Nov. 1697
Friedrich Karl Tettenborn	19. Febr. 1778
Benedictus Gotthelf Teubner	16. Juni 1784
Wilhelm Sigismund Teuffel	27. Sept. 1820
Georg Daniel Teutsch	12. Dez. 1817
Tewfik Pascha	1852
Tewfik Pascha	1843
William Makepeace Thackeray	18. Juli 1811
Sigismund Thalberg	7. Jan. 1812
Albrecht Thaer	14. Mai 1752
Julius Thäter	7. Jan. 1804
Moritz Thausing	3. Juni 1838
Augustin Theiner	11. April 1804
Louis Jacques de Thénard	4. Mai 1774
Theodor	1818
Theresia von Jesu	28. März 1515
André Theuriet	8. Okt. 1833
Antoine Claire Thibaudeau	23. März 1765
Antoine Friedrich Justus Thibaut	4. Jan. 1772
Andreas Thiel	28. Sept. 1826
Karl von Thielen	30. Jan. 1832
Adolf Thielmann	27. April 1765
Max Thielmann	4. April 1846
Augustin Thierry	10. Mai 1795
Friedrich Thiersch	17. Juni 1784
Henry Thode	13. Jan. 1857
August Tholuck	30. März 1799
Hans Thoma	2. Okt. 1839
Thomas	1118
Thomas	1380
Thomas	1225
Ambroise Thomas	5. Aug. 1811
Sydney Gilchrist Thomas	16. April 1850
Christian Thomasius	1. Jan. 1655
Gottfried Thomasius	26. Juli 1802
Sir Henry Thompson	6. Aug. 1820
Silvanus Phillips Thompson	19. Juni 1851
Julius Thomsen	16. Febr. 1826
Wilhelm Ludwig Peter Thomsen	25. Jan. 1842
Thomson	11. Sept. 1700
Joseph Thomson	14. Febr. 1858
Thomas Thomson	12. April 1773
William Thomson	26. Juni 1824
Sir Wyville Thomson	5. März 1830
Johann Rudolf Thorbecke	15. Jan. 1798
Henry Thoreau	12. Juli 1817
Anna Magdalena Thoresen	3. Juni 1819
Thorwald Thoroddsen	6. Juni 1855
Thou	8. Okt. 1553
Friedrich Thudichum	18. Nov. 1831
Franz Maria Thugut	8. März 1736
Paul Thumann	5. Okt. 1834
Friedrich Wilhelm Thümmel	6. Mai 1856
Moritz August von Thümmel	27. Mai 1738
Karl Peter Thunberg	11. Nov. 1743
Johann Heinrich von Thünen	24. Juni 1783
